index,demand,location,x,y,assigned,piority
28,404,"Point(x=25729.9825, y=13408.4325)",25729.9825,13408.4325,51,578162.8574185036
29,467,"Point(x=60904.8, y=37202.2475)",60904.8,37202.2475,59,589270.7702074115
30,423,"Point(x=56376.0875, y=93110.295)",56376.0875,93110.295,68,1426844.4906701338
31,548,"Point(x=99555.9375, y=84282.2325)",99555.9375,84282.2325,180,770703.4320977621
32,423,"Point(x=65441.25, y=23233.8)",65441.25,23233.8,72,1099373.6036205345
33,539,"Point(x=55150.0625, y=5088.5925)",55150.0625,5088.5925,175,1863265.2098372297
34,482,"Point(x=32298.135, y=58530.535)",32298.135,58530.535,3,2151098.969282524
35,604,"Point(x=93400.2425, y=29477.0425)",93400.2425,29477.0425,28,1597887.1689925918
36,565,"Point(x=83232.765, y=70299.1375)",83232.765,70299.1375,20,441024.3568288695
37,573,"Point(x=78733.9375, y=25193.1725)",78733.9375,25193.1725,157,1755876.120604209
38,569,"Point(x=98191.8425, y=18380.955)",98191.8425,18380.955,120,1197712.1567759446
39,538,"Point(x=31610.57, y=8751.4975)",31610.57,8751.4975,114,658896.8810771713
40,511,"Point(x=99494.7475, y=79894.705)",99494.7475,79894.705,108,3802190.852732067
41,519,"Point(x=6285.445, y=31574.05)",6285.445,31574.05,49,3564048.7545152134
42,353,"Point(x=62032.185, y=46970.295)",62032.185,46970.295,151,1485900.8115385443
43,631,"Point(x=54418.98, y=9056.34)",54418.98,9056.34,175,4435814.660411395
44,624,"Point(x=11547.175, y=21082.6425)",11547.175,21082.6425,158,415573.648843976
45,378,"Point(x=38614.2025, y=49294.64)",38614.2025,49294.64,35,1908282.571495976
46,551,"Point(x=25203.225, y=2902.2575)",25203.225,2902.2575,102,2269301.9622361236
47,473,"Point(x=6663.9725, y=6721.345)",6663.9725,6721.345,9,1510343.5409595214
48,493,"Point(x=8423.8725, y=81616.29)",8423.8725,81616.29,123,1935278.0556142137
49,484,"Point(x=53456.9125, y=58458.0875)",53456.9125,58458.0875,145,898642.2764578328
50,409,"Point(x=46274.7, y=35912.7375)",46274.7,35912.7375,133,1117834.9239121138
51,360,"Point(x=41376.0475, y=1913.2575)",41376.0475,1913.2575,18,2380967.704506196
52,613,"Point(x=114.655, y=69759.95)",114.655,69759.95,4,855329.2283566797
53,460,"Point(x=80643.875, y=25088.8875)",80643.875,25088.8875,157,1151021.6827620007
54,464,"Point(x=22884.275, y=37687.5975)",22884.275,37687.5975,90,2541756.07965256
55,621,"Point(x=55687.5425, y=82544.0925)",55687.5425,82544.0925,23,2861594.5855675265
56,449,"Point(x=57316.945, y=40879.0375)",57316.945,40879.0375,59,1309868.2925190271
57,449,"Point(x=28696.31, y=58922.345)",28696.31,58922.345,3,1058911.7139171003
58,277,"Point(x=13376.205, y=66155.74)",13376.205,66155.74,160,1479880.9345904593
59,496,"Point(x=67811.5625, y=91439.755)",67811.5625,91439.755,118,605738.3021598047
60,511,"Point(x=40613.0, y=29481.095)",40613.0,29481.095,183,3181836.199345858
61,492,"Point(x=79797.1975, y=57439.0375)",79797.1975,57439.0375,167,2272902.575473276
62,553,"Point(x=33216.7525, y=57292.1)",33216.7525,57292.1,3,2751720.8167082504
63,374,"Point(x=3963.8825, y=97021.2625)",3963.8825,97021.2625,26,1036833.9104704732
64,369,"Point(x=20414.925, y=17108.545)",20414.925,17108.545,5,791220.7379222962
65,491,"Point(x=4259.3575, y=5736.5025)",4259.3575,5736.5025,58,604999.7892093499
66,529,"Point(x=20651.9375, y=49603.9025)",20651.9375,49603.9025,25,1926303.713819491
67,669,"Point(x=18297.445, y=53698.675)",18297.445,53698.675,25,1936294.5435987958
68,293,"Point(x=20853.655, y=35256.085)",20853.655,35256.085,90,806693.2496535013
69,452,"Point(x=69323.4475, y=96460.245)",69323.4475,96460.245,198,2862980.8460020823
70,461,"Point(x=40041.62, y=5302.2425)",40041.62,5302.2425,18,1682242.6417756728
71,571,"Point(x=53156.5475, y=39783.09)",53156.5475,39783.09,162,2963371.852443706
72,234,"Point(x=44756.055, y=59006.2925)",44756.055,59006.2925,166,933941.9010082386
73,602,"Point(x=95891.81, y=41011.1225)",95891.81,41011.1225,141,3780675.1492743175
74,495,"Point(x=63746.34, y=8944.185)",63746.34,8944.185,60,1497385.5233740434
75,530,"Point(x=75300.655, y=88498.8125)",75300.655,88498.8125,118,2849126.3699236424
76,758,"Point(x=85025.5, y=33005.9525)",85025.5,33005.9525,101,538550.9399372801
77,468,"Point(x=45764.785, y=12550.715)",45764.785,12550.715,54,2512657.015768192
78,503,"Point(x=54206.715, y=67094.0675)",54206.715,67094.0675,159,1582676.8110058547
79,567,"Point(x=59617.9025, y=55278.1)",59617.9025,55278.1,30,3162013.999289297
80,278,"Point(x=6278.37, y=75053.8025)",6278.37,75053.8025,123,414950.0642442378
81,345,"Point(x=90439.4725, y=68523.8825)",90439.4725,68523.8825,132,338839.67717725626
82,430,"Point(x=30981.8075, y=41426.19)",30981.8075,41426.19,125,1855820.9477324763
83,439,"Point(x=39811.2725, y=70208.2525)",39811.2725,70208.2525,77,1158251.6570959694
84,622,"Point(x=1129.89, y=8679.7)",1129.89,8679.7,9,649770.2936222367
85,467,"Point(x=42307.65, y=39404.445)",42307.65,39404.445,193,1225875.3787203317
86,689,"Point(x=41503.9175, y=68203.97)",41503.9175,68203.97,77,2064979.4593979302
87,712,"Point(x=23250.505, y=83954.6925)",23250.505,83954.6925,62,1960369.4084774158
88,543,"Point(x=2900.035, y=63138.55)",2900.035,63138.55,2,4127580.8004685426
89,417,"Point(x=87295.0225, y=79569.4225)",87295.0225,79569.4225,180,782122.0137007101
90,557,"Point(x=36116.705, y=2506.7925)",36116.705,2506.7925,18,732171.3421773856
91,571,"Point(x=58071.26, y=51147.795)",58071.26,51147.795,30,1739597.8115660357
92,342,"Point(x=49582.63, y=73606.37)",49582.63,73606.37,156,943617.4189561292
93,545,"Point(x=70213.125, y=49121.7175)",70213.125,49121.7175,67,1196218.9149414012
94,503,"Point(x=94733.07, y=8662.235)",94733.07,8662.235,85,2368542.6057917806
95,522,"Point(x=2168.9575, y=52147.1425)",2168.9575,52147.1425,112,1890441.6625245663
96,554,"Point(x=90687.25, y=48155.14)",90687.25,48155.14,141,855351.703666306
97,565,"Point(x=25884.26, y=28740.425)",25884.26,28740.425,94,3307058.0924877683
98,502,"Point(x=51056.43, y=38615.7575)",51056.43,38615.7575,162,2989008.3311501737
99,559,"Point(x=19806.695, y=38515.275)",19806.695,38515.275,90,2034297.770727065
100,450,"Point(x=49262.3175, y=99082.96)",49262.3175,99082.96,12,3001731.9559778245
101,499,"Point(x=97132.4875, y=73762.6075)",97132.4875,73762.6075,108,4578745.087572153
102,398,"Point(x=81318.13, y=66517.1)",81318.13,66517.1,149,1078585.1851426004
103,533,"Point(x=97970.655, y=65906.935)",97970.655,65906.935,119,1174800.5491230357
104,631,"Point(x=36549.09, y=11578.05)",36549.09,11578.05,46,1510013.2005880903
105,334,"Point(x=71069.865, y=92740.4475)",71069.865,92740.4475,118,1047571.7281091119
106,479,"Point(x=55096.345, y=5145.805)",55096.345,5145.805,175,1665481.827768695
107,487,"Point(x=67866.5375, y=15640.7375)",67866.5375,15640.7375,65,2087109.0586038488
108,516,"Point(x=27947.5925, y=78388.5125)",27947.5925,78388.5125,140,934852.4219731699
109,447,"Point(x=68791.1375, y=85361.24)",68791.1375,85361.24,42,1440928.985460812
110,528,"Point(x=95820.9375, y=92746.7675)",95820.9375,92746.7675,144,3877645.426428445
111,594,"Point(x=50656.0425, y=87726.4275)",50656.0425,87726.4275,13,1807868.399042554
112,495,"Point(x=14664.68, y=79998.8025)",14664.68,79998.8025,34,1513950.2760200948
113,455,"Point(x=93410.72, y=24401.25)",93410.72,24401.25,120,1579799.162741998
114,583,"Point(x=85740.765, y=33873.77)",85740.765,33873.77,43,1231550.9705529776
115,434,"Point(x=57514.71, y=56955.94)",57514.71,56955.94,30,1634696.8912408724
116,456,"Point(x=20933.975, y=68162.1025)",20933.975,68162.1025,165,3071330.959594985
117,402,"Point(x=1958.115, y=50445.7725)",1958.115,50445.7725,112,2107517.8898053253
118,574,"Point(x=53087.4525, y=78356.6325)",53087.4525,78356.6325,139,2599373.923809053
119,553,"Point(x=25666.7575, y=71079.1)",25666.7575,71079.1,69,2121489.542845776
120,430,"Point(x=6600.0975, y=424.875)",6600.0975,424.875,58,3755087.943234482
121,580,"Point(x=26699.5025, y=65900.3925)",26699.5025,65900.3925,69,1706246.549356973
122,441,"Point(x=92844.215, y=12957.2975)",92844.215,12957.2975,185,304456.98055263975
123,435,"Point(x=84111.33, y=14779.8425)",84111.33,14779.8425,106,442110.2957579531
124,446,"Point(x=41338.2675, y=92694.615)",41338.2675,92694.615,29,2162516.177842988
125,490,"Point(x=7898.8225, y=24694.4075)",7898.8225,24694.4075,171,3255523.4630163857
126,496,"Point(x=96797.355, y=77652.82)",96797.355,77652.82,180,4148562.3828606107
127,588,"Point(x=68153.3225, y=12926.2325)",68153.3225,12926.2325,65,3299976.020925716
128,621,"Point(x=35651.5425, y=97750.7875)",35651.5425,97750.7875,6,2926068.1149491942
129,653,"Point(x=8665.9325, y=71892.555)",8665.9325,71892.555,197,3669108.373388729
130,327,"Point(x=44985.9325, y=5247.305)",44985.9325,5247.305,66,2258166.3831933592
131,378,"Point(x=35751.3975, y=96248.2875)",35751.3975,96248.2875,6,1689779.7534321242
132,525,"Point(x=24396.9075, y=6928.1275)",24396.9075,6928.1275,5,731164.0288555601
133,497,"Point(x=3441.455, y=72941.3)",3441.455,72941.3,4,1061299.5258135193
134,347,"Point(x=10792.6875, y=81704.7275)",10792.6875,81704.7275,123,535795.670884171
135,629,"Point(x=90915.0525, y=52082.2275)",90915.0525,52082.2275,155,3620379.8378512035
136,409,"Point(x=66971.1775, y=53450.18)",66971.1775,53450.18,98,472604.04684780765
137,427,"Point(x=55051.8525, y=841.38)",55051.8525,841.38,175,1579918.8998712006
138,319,"Point(x=6738.36, y=33367.4325)",6738.36,33367.4325,49,2200454.0299545215
139,445,"Point(x=40564.7925, y=2867.2325)",40564.7925,2867.2325,18,2672430.932935455
140,568,"Point(x=65242.695, y=23886.6825)",65242.695,23886.6825,105,1417426.3749150005
141,594,"Point(x=67021.34, y=1680.495)",67021.34,1680.495,60,3203829.536972104
142,327,"Point(x=87871.2875, y=8658.5575)",87871.2875,8658.5575,106,705371.8801687498
143,285,"Point(x=52130.6325, y=32931.6025)",52130.6325,32931.6025,133,2942864.5388709023
144,447,"Point(x=25679.04, y=77764.4925)",25679.04,77764.4925,62,803415.1707253448
145,403,"Point(x=20001.9775, y=56587.465)",20001.9775,56587.465,32,2095905.6629138999
146,563,"Point(x=33655.8125, y=78211.5225)",33655.8125,78211.5225,140,2300811.7393965707
147,436,"Point(x=35702.6775, y=59882.5975)",35702.6775,59882.5975,83,1817663.036742133
148,603,"Point(x=99044.23, y=62354.275)",99044.23,62354.275,119,5018893.6687594
149,531,"Point(x=814.59, y=75745.15)",814.59,75745.15,4,4166224.983175466
150,430,"Point(x=13570.035, y=18449.6275)",13570.035,18449.6275,158,2270931.2058522333
151,591,"Point(x=38678.54, y=76177.5975)",38678.54,76177.5975,92,2922967.2391007515
152,543,"Point(x=9631.29, y=66818.2075)",9631.29,66818.2075,160,3307074.829322297
153,570,"Point(x=19195.9925, y=66587.53)",19195.9925,66587.53,165,4318936.807270158
154,472,"Point(x=37800.815, y=95237.37)",37800.815,95237.37,29,2205009.4921320532
155,350,"Point(x=51051.9275, y=98111.1825)",51051.9275,98111.1825,12,1599985.7895162601
156,472,"Point(x=71754.995, y=891.03)",71754.995,891.03,176,2152176.208676435
157,541,"Point(x=79858.6075, y=16351.545)",79858.6075,16351.545,134,1706906.254804136
158,520,"Point(x=44530.8525, y=62054.215)",44530.8525,62054.215,166,2245875.140244284
159,433,"Point(x=38045.2175, y=62429.7325)",38045.2175,62429.7325,83,2340403.5217478937
160,503,"Point(x=25836.0475, y=63622.8425)",25836.0475,63622.8425,32,2441647.5801794683
161,589,"Point(x=75770.775, y=32855.1775)",75770.775,32855.1775,101,1977545.477646912
162,514,"Point(x=9190.605, y=63580.66)",9190.605,63580.66,197,1153111.1664222856
163,631,"Point(x=5717.6275, y=78961.91)",5717.6275,78961.91,123,3706043.4826700757
164,432,"Point(x=69485.8275, y=92682.785)",69485.8275,92682.785,118,1371802.8587404813
165,619,"Point(x=24379.595, y=58955.6825)",24379.595,58955.6825,32,2551478.711221863
166,452,"Point(x=17102.455, y=32175.4875)",17102.455,32175.4875,121,1457645.9826331262
167,560,"Point(x=2649.1425, y=12389.33)",2649.1425,12389.33,27,2172495.6784638166
168,470,"Point(x=57493.475, y=33231.9575)",57493.475,33231.9575,133,1252231.8044330704
169,553,"Point(x=3709.0075, y=81218.125)",3709.0075,81218.125,4,2452033.833869255
170,258,"Point(x=59888.625, y=40456.2725)",59888.625,40456.2725,59,1396863.7574649088
171,402,"Point(x=31219.7375, y=18593.655)",31219.7375,18593.655,135,1843268.1055953917
172,318,"Point(x=36428.1275, y=65533.66)",36428.1275,65533.66,83,2046270.0074178816
173,566,"Point(x=94760.71, y=6660.68)",94760.71,6660.68,14,2361725.461476997
174,408,"Point(x=6102.9275, y=30606.7975)",6102.9275,30606.7975,49,2360827.6184287732
175,724,"Point(x=21673.9125, y=55787.7475)",21673.9125,55787.7475,32,3882007.8894789913
176,521,"Point(x=77146.6875, y=15261.075)",77146.6875,15261.075,106,823882.8111754011
177,587,"Point(x=91620.4075, y=15385.89)",91620.4075,15385.89,179,2727922.6056041582
178,595,"Point(x=12614.27, y=88586.8825)",12614.27,88586.8825,45,2823356.5857524085
179,610,"Point(x=79493.2525, y=7789.425)",79493.2525,7789.425,95,2485785.914708752
180,639,"Point(x=75047.7375, y=57910.6575)",75047.7375,57910.6575,167,4201088.643853184
181,498,"Point(x=9529.315, y=9642.8575)",9529.315,9642.8575,27,3401439.7855155324
182,406,"Point(x=62474.07, y=930.39)",62474.07,930.39,60,1515059.158746573
183,329,"Point(x=31181.015, y=29743.545)",31181.015,29743.545,94,512946.5593406358
184,283,"Point(x=33531.85, y=10928.75)",33531.85,10928.75,199,938571.5214353193
185,557,"Point(x=55247.815, y=79293.12)",55247.815,79293.12,139,2114294.677263212
186,563,"Point(x=79497.825, y=79840.295)",79497.825,79840.295,15,1582891.439553422
187,507,"Point(x=80299.2975, y=82519.0125)",80299.2975,82519.0125,15,1993011.821653494
188,404,"Point(x=64063.2125, y=46740.815)",64063.2125,46740.815,151,1487398.0957063627
189,530,"Point(x=61774.725, y=39933.175)",61774.725,39933.175,151,3246246.722300361
190,295,"Point(x=79146.7175, y=92364.5425)",79146.7175,92364.5425,196,1385445.3545453472
191,513,"Point(x=20358.9625, y=98383.925)",20358.9625,98383.925,74,1985117.2406322474
192,540,"Point(x=18937.0025, y=43497.4275)",18937.0025,43497.4275,178,663497.2894198031
193,549,"Point(x=66783.87, y=9423.5675)",66783.87,9423.5675,60,3662794.1244487693
194,467,"Point(x=1367.7675, y=29516.2675)",1367.7675,29516.2675,49,1794985.6989852092
195,398,"Point(x=3686.71, y=99038.34)",3686.71,99038.34,26,1553151.6419995949
196,502,"Point(x=40402.0775, y=52439.1325)",40402.0775,52439.1325,35,3017284.1606776044
197,634,"Point(x=19272.985, y=95069.955)",19272.985,95069.955,100,1595446.9575717193
198,474,"Point(x=90711.755, y=17418.575)",90711.755,17418.575,179,2444468.101543692
199,638,"Point(x=7155.16, y=79085.3625)",7155.16,79085.3625,123,4180777.412146067
200,543,"Point(x=96819.3, y=96071.665)",96819.3,96071.665,144,4449972.391428144
201,594,"Point(x=56627.4925, y=97070.8775)",56627.4925,97070.8775,68,2326238.818037037
202,370,"Point(x=4946.4575, y=7790.6)",4946.4575,7790.6,9,1012869.382483512
203,455,"Point(x=95829.61, y=58851.29)",95829.61,58851.29,119,921109.8997759394
204,441,"Point(x=81026.13, y=2752.65)",81026.13,2752.65,176,2276801.866493464
205,533,"Point(x=44038.5725, y=34251.155)",44038.5725,34251.155,183,1478502.1220020943
206,552,"Point(x=88336.18, y=7262.6875)",88336.18,7262.6875,14,1585842.503442454
207,559,"Point(x=98804.2025, y=39432.3025)",98804.2025,39432.3025,130,5873558.407883906
208,647,"Point(x=25001.9475, y=24682.985)",25001.9475,24682.985,21,4196911.674155781
209,354,"Point(x=65963.325, y=80475.5675)",65963.325,80475.5675,42,3234040.980165328
210,460,"Point(x=13017.2175, y=29956.055)",13017.2175,29956.055,121,1106735.9946091268
211,414,"Point(x=28408.92, y=1860.7)",28408.92,1860.7,102,2750048.0835421667
212,527,"Point(x=88462.8925, y=34510.37)",88462.8925,34510.37,43,1596032.5360699166
213,457,"Point(x=20136.53, y=53254.015)",20136.53,53254.015,25,509597.50187086355
214,441,"Point(x=57493.7125, y=90759.1225)",57493.7125,90759.1225,68,1112336.6399858422
215,495,"Point(x=28041.5775, y=31200.0625)",28041.5775,31200.0625,94,2647106.9146285215
216,541,"Point(x=3099.0225, y=79666.865)",3099.0225,79666.865,4,3976000.7778183133
217,362,"Point(x=90727.045, y=69044.4375)",90727.045,69044.4375,180,467142.2620115357
218,549,"Point(x=24685.485, y=66192.35)",24685.485,66192.35,32,2775048.244739092
219,365,"Point(x=62319.675, y=64035.6125)",62319.675,64035.6125,116,1225573.3085646094
220,516,"Point(x=41367.08, y=77153.33)",41367.08,77153.33,92,2223825.885746436
221,344,"Point(x=57071.3325, y=24174.735)",57071.3325,24174.735,78,2094124.858797374
222,592,"Point(x=56583.275, y=2470.2375)",56583.275,2470.2375,175,1865192.5423468244
223,432,"Point(x=87379.7175, y=33238.005)",87379.7175,33238.005,28,1209807.4401139389
224,514,"Point(x=54474.645, y=85984.905)",54474.645,85984.905,23,1846299.2417700214
225,481,"Point(x=21224.6125, y=82907.01)",21224.6125,82907.01,62,1929840.8760202257
226,561,"Point(x=24812.66, y=66257.325)",24812.66,66257.325,32,2681737.0081932778
227,433,"Point(x=85595.88, y=19743.7825)",85595.88,19743.7825,134,854902.0818472968
228,496,"Point(x=60315.1375, y=281.53)",60315.1375,281.53,60,1155840.0433197974
229,492,"Point(x=75129.025, y=48004.3975)",75129.025,48004.3975,186,3167948.713816695
230,263,"Point(x=54725.8225, y=49817.1925)",54725.8225,49817.1925,55,1354011.0028435178
231,490,"Point(x=76720.2675, y=84360.685)",76720.2675,84360.685,177,1717484.4034453137
232,418,"Point(x=26164.8975, y=57811.505)",26164.8975,57811.505,32,940388.3700694684
233,591,"Point(x=4204.63, y=64239.0)",4204.63,64239.0,2,3005654.703678593
234,597,"Point(x=12504.0225, y=67559.7)",12504.0225,67559.7,160,3826028.560541427
235,547,"Point(x=26427.575, y=3257.255)",26427.575,3257.255,102,2899087.974403744
236,545,"Point(x=55036.945, y=82455.01)",55036.945,82455.01,23,2234369.982116789
237,387,"Point(x=34632.085, y=96838.12)",34632.085,96838.12,6,1827092.8024947543
238,488,"Point(x=24975.12, y=36290.4275)",24975.12,36290.4275,94,1161865.4125515418
239,417,"Point(x=54178.585, y=63481.3075)",54178.585,63481.3075,145,2132238.02198142
240,309,"Point(x=94107.0575, y=3755.345)",94107.0575,3755.345,14,483722.7692295885
241,512,"Point(x=48086.8925, y=33169.0125)",48086.8925,33169.0125,133,3656405.127224789
242,627,"Point(x=8848.055, y=82003.235)",8848.055,82003.235,123,1855391.933664178
243,567,"Point(x=72847.755, y=88943.7075)",72847.755,88943.7075,118,2884543.510426495
244,492,"Point(x=78874.9375, y=58809.7725)",78874.9375,58809.7725,167,2897696.156988939
245,449,"Point(x=3292.5525, y=918.0625)",3292.5525,918.0625,58,3529234.283830069
246,586,"Point(x=20037.2075, y=87360.025)",20037.2075,87360.025,100,1086493.3560581398
247,513,"Point(x=85193.31, y=9350.4325)",85193.31,9350.4325,106,2361660.296525314
248,595,"Point(x=23455.125, y=88809.7475)",23455.125,88809.7475,100,2937702.4744061623
249,591,"Point(x=65219.165, y=33567.6875)",65219.165,33567.6875,105,4380145.744905856
250,512,"Point(x=9493.035, y=68435.7325)",9493.035,68435.7325,197,4114164.2595437607
251,644,"Point(x=3799.385, y=92963.26)",3799.385,92963.26,45,2073534.7396165752
252,351,"Point(x=61363.84, y=42433.7725)",61363.84,42433.7725,151,2762174.5718098027
253,556,"Point(x=41427.75, y=52211.345)",41427.75,52211.345,35,3797308.7882882515
254,623,"Point(x=16423.76, y=86708.3425)",16423.76,86708.3425,53,1823582.5651013858
255,461,"Point(x=45923.8825, y=33648.335)",45923.8825,33648.335,133,1782555.9107537703
256,529,"Point(x=86686.22, y=21579.39)",86686.22,21579.39,134,362993.47836155293
257,440,"Point(x=78612.165, y=18331.7)",78612.165,18331.7,134,931668.945543315
258,415,"Point(x=4453.4425, y=38825.95)",4453.4425,38825.95,172,2152252.6211333754
259,470,"Point(x=23796.4625, y=42261.675)",23796.4625,42261.675,90,2211542.58396281
260,598,"Point(x=85161.25, y=86511.1775)",85161.25,86511.1775,89,2574381.9357456067
261,508,"Point(x=399.955, y=13790.21)",399.955,13790.21,9,816298.2481447387
262,534,"Point(x=79798.8225, y=45212.7)",79798.8225,45212.7,7,2261496.9720620494
263,570,"Point(x=69042.705, y=40664.42)",69042.705,40664.42,152,297029.1968843071
264,541,"Point(x=83418.585, y=34291.7525)",83418.585,34291.7525,43,1082793.9908290599
265,612,"Point(x=85962.655, y=29636.615)",85962.655,29636.615,28,1978850.3412738412
266,500,"Point(x=73026.6375, y=48565.6875)",73026.6375,48565.6875,186,2453673.1138954945
267,401,"Point(x=93669.0275, y=85763.83)",93669.0275,85763.83,180,1034015.2925927489
268,318,"Point(x=48795.7275, y=35137.94)",48795.7275,35137.94,133,2013961.2818551937
269,502,"Point(x=58639.4875, y=59382.695)",58639.4875,59382.695,145,414924.46385210555
270,536,"Point(x=71953.2325, y=97370.2975)",71953.2325,97370.2975,198,4197919.779371549
271,443,"Point(x=96245.455, y=11005.125)",96245.455,11005.125,188,1838039.4707518783
272,586,"Point(x=71474.1775, y=66624.3575)",71474.1775,66624.3575,126,3479442.7922148323
273,439,"Point(x=28388.4325, y=87610.27)",28388.4325,87610.27,153,2044999.615710954
274,457,"Point(x=70763.9425, y=62197.7075)",70763.9425,62197.7075,126,2731803.643126786
275,679,"Point(x=68746.0825, y=83183.725)",68746.0825,83183.725,42,3752666.8628732227
276,463,"Point(x=2153.0325, y=76025.9825)",2153.0325,76025.9825,4,3154486.4582298193
277,538,"Point(x=65747.4675, y=53819.04)",65747.4675,53819.04,164,1224789.4244368868
278,618,"Point(x=24152.79, y=19533.3775)",24152.79,19533.3775,21,1294155.6648676232
279,489,"Point(x=93036.5325, y=63679.85)",93036.5325,63679.85,132,3136249.4977159356
280,623,"Point(x=99655.3175, y=68915.68)",99655.3175,68915.68,108,3389416.333535515
281,687,"Point(x=18243.2575, y=70590.065)",18243.2575,70590.065,160,1350928.1410502149
282,528,"Point(x=9665.795, y=51531.7275)",9665.795,51531.7275,137,955645.6126685484
283,519,"Point(x=44388.585, y=83447.16)",44388.585,83447.16,84,1966561.6785529843
284,447,"Point(x=43763.7275, y=38614.4275)",43763.7275,38614.4275,193,713480.482298069
285,516,"Point(x=1852.2175, y=87309.365)",1852.2175,87309.365,45,1038858.1393096509
286,552,"Point(x=14540.495, y=11798.2975)",14540.495,11798.2975,147,1852314.7620150547
287,572,"Point(x=2744.5375, y=62879.035)",2744.5375,62879.035,2,4676665.36609345
288,424,"Point(x=24023.045, y=98891.325)",24023.045,98891.325,74,2586342.646545246
289,426,"Point(x=62181.77, y=62543.8425)",62181.77,62543.8425,116,2270701.6988457404
290,667,"Point(x=47042.515, y=95766.5875)",47042.515,95766.5875,12,5548576.676444621
291,484,"Point(x=6929.615, y=78974.0575)",6929.615,78974.0575,123,3146577.1233898667
292,495,"Point(x=56218.49, y=39928.2725)",56218.49,39928.2725,59,1264499.1489977022
293,602,"Point(x=32968.015, y=8204.6725)",32968.015,8204.6725,114,1569145.1416723887
294,628,"Point(x=8844.15, y=1331.2175)",8844.15,1331.2175,58,3244383.3157066326
295,446,"Point(x=39992.8725, y=96540.9225)",39992.8725,96540.9225,29,755810.50234626
296,617,"Point(x=77028.44, y=21544.69)",77028.44,21544.69,157,2465577.271844961
297,573,"Point(x=74252.89, y=58221.1575)",74252.89,58221.1575,167,3168751.6994980173
298,719,"Point(x=44080.5425, y=51990.9275)",44080.5425,51990.9275,35,3735397.4790909267
299,451,"Point(x=71539.1325, y=36865.2925)",71539.1325,36865.2925,152,2788305.2981861862
300,457,"Point(x=67421.88, y=43872.56)",67421.88,43872.56,151,1594743.7226251622
301,495,"Point(x=53945.1, y=21369.32)",53945.1,21369.32,78,3131598.0225804336
302,502,"Point(x=85208.5925, y=73574.4975)",85208.5925,73574.4975,20,1048801.2977091987
303,596,"Point(x=30124.055, y=27158.03)",30124.055,27158.03,21,1007775.079014101
304,423,"Point(x=49197.705, y=94666.3775)",49197.705,94666.3775,12,3480558.0607810114
305,594,"Point(x=62807.18, y=75992.615)",62807.18,75992.615,52,2449648.5317463083
306,563,"Point(x=56330.2, y=66636.67)",56330.2,66636.67,145,1712375.883942562
307,509,"Point(x=39273.1375, y=15074.87)",39273.1375,15074.87,46,1152466.149370695
